,SKN load,MSR load,ATG load,GLP load,DMA load,MTQ load,LCA load,SVG load,GRD load,BRB load
1578,36.46,2.17,58.72,265.8,17.0,243.8,62.9,24.5,35.3,161.5
1579,38.11,2.3,61.12,283.1,17.7,254.6,66.2,25.3,36.9,168.7
1580,36.83,2.18,57.86,264.5,17.2,242.7,63.6,24.1,35.6,160.5
1581,34.43,2.04,54.57,252.3,16.0,226.4,58.1,22.9,32.9,149.9
1582,32.6,1.94,51.63,234.5,15.0,215.6,56.1,21.7,31.0,143.9
1583,29.79,1.76,47.47,215.8,14.0,197.6,50.7,19.5,28.2,130.4
1584,26.89,1.61,43.87,199.7,12.8,181.6,47.5,18.3,26.3,121.1
1585,25.87,1.55,41.07,190.5,11.9,172.8,45.4,17.5,25.0,114.4
1586,25.2,1.5,39.9,184.1,11.9,167.6,43.5,17.0,24.2,111.8
1587,24.68,1.49,40.26,181.3,11.8,166.4,43.4,16.5,24.5,109.2
1588,25.97,1.53,40.9,190.0,11.9,171.4,45.2,17.3,25.1,114.6
1589,29.33,1.74,45.64,211.7,13.5,192.9,49.6,19.1,27.7,128.4
1590,31.76,1.87,50.18,233.6,14.6,211.0,55.4,21.3,30.8,139.4
1591,33.99,2.0,54.02,242.5,15.5,223.7,58.8,22.1,32.3,146.7
1592,35.06,2.1,56.71,263.0,16.5,235.7,61.6,23.4,34.2,153.5
1593,36.2,2.22,59.09,267.6,17.1,244.2,63.5,24.2,35.8,162.0
1594,37.14,2.21,58.83,267.1,17.2,245.4,63.3,24.8,35.5,163.9
1595,37.18,2.25,59.12,275.5,17.6,249.4,65.1,25.0,36.4,166.8
1596,37.66,2.26,61.2,280.9,18.0,253.5,66.9,25.1,36.6,167.2
1597,37.34,2.24,60.71,277.4,17.4,251.2,64.7,25.1,36.1,163.4
1598,37.47,2.26,60.2,268.0,17.6,247.1,64.2,24.4,36.2,161.4
1599,36.36,2.16,58.7,268.3,17.1,242.9,64.0,24.0,35.4,158.2
1600,34.54,2.12,56.24,257.5,16.5,233.6,60.7,23.1,33.9,153.4
1601,34.27,2.04,54.84,246.3,15.8,225.9,58.2,22.4,33.2,150.5
1602,37.12,2.25,58.53,267.9,17.4,246.3,64.6,25.0,36.2,163.4
1603,37.96,2.3,60.63,280.8,18.2,256.4,67.4,25.4,36.7,167.2
1604,37.21,2.23,58.02,267.7,17.1,244.5,63.7,24.7,35.9,162.8
1605,33.99,2.03,55.38,253.5,15.7,227.8,59.3,22.7,33.2,149.4
1606,31.8,1.95,51.0,234.0,15.0,214.6,55.0,21.5,31.2,142.7
1607,29.22,1.79,46.99,216.5,13.9,197.5,51.8,19.5,28.4,129.8
1608,27.13,1.65,44.17,200.4,12.6,181.5,47.9,18.2,26.4,121.0
1609,25.6,1.57,41.97,188.8,12.1,172.8,44.6,17.1,25.4,114.5
1610,25.06,1.52,40.21,185.0,11.9,167.6,43.8,16.8,24.0,110.2
1611,25.2,1.49,39.61,182.7,11.8,166.7,43.1,16.7,23.9,111.6
1612,25.85,1.54,40.97,185.5,12.1,170.4,44.6,17.1,25.0,112.3
1613,28.59,1.7,45.21,212.5,13.3,190.4,50.0,19.0,27.4,126.3
1614,31.53,1.86,50.01,227.1,14.6,208.5,54.0,20.8,29.8,138.6
1615,32.54,2.0,53.46,243.4,15.3,219.8,57.9,22.1,32.2,144.7
1616,34.22,2.09,55.85,249.0,16.1,229.7,59.9,23.2,33.2,152.9
1617,35.54,2.17,57.47,265.1,16.6,239.3,62.9,23.9,34.6,159.0
1618,36.86,2.21,58.18,272.1,17.3,244.1,63.5,24.5,34.9,161.7
1619,37.34,2.22,60.03,268.5,17.5,247.5,64.9,24.7,35.4,165.7
1620,37.39,2.26,60.35,275.5,17.5,248.0,65.1,24.7,35.5,163.8
1621,36.57,2.17,58.16,265.0,16.9,243.1,62.5,24.4,35.1,158.1
1622,35.95,2.16,56.69,263.9,16.7,237.4,61.6,23.8,34.0,157.3
1623,35.55,2.13,56.6,259.5,16.3,234.2,61.5,23.4,33.7,155.0
1624,33.75,2.06,54.25,246.1,15.9,226.5,58.2,22.4,32.9,150.5
1625,33.12,1.99,53.57,242.5,15.7,222.4,57.8,22.3,32.7,145.8
1626,35.96,2.2,57.7,269.4,16.9,241.6,63.2,24.4,35.2,158.6
1627,37.78,2.23,60.89,271.9,17.3,250.4,64.9,25.3,36.3,163.4
1628,35.74,2.13,57.1,264.5,16.8,237.3,62.4,23.6,34.9,154.3
1629,32.77,1.99,52.93,242.7,15.4,219.8,57.3,22.1,31.9,144.8
1630,32.29,1.93,51.65,235.7,14.9,212.1,54.6,21.5,30.5,139.3
1631,29.53,1.78,47.53,214.5,13.9,196.6,50.4,19.7,28.8,128.8
1632,27.22,1.62,43.92,201.4,12.8,181.7,46.6,18.1,26.6,118.4
1633,25.87,1.55,40.79,189.4,11.9,171.4,44.4,16.9,24.7,111.5
1634,24.66,1.48,39.33,182.3,11.5,166.2,42.6,16.7,24.2,108.1
1635,24.41,1.48,39.51,178.5,11.4,164.4,42.2,16.5,23.6,107.5
1636,24.41,1.48,39.72,181.6,11.4,163.7,42.5,16.5,23.9,108.0
1637,25.67,1.55,41.59,188.6,11.9,172.0,45.1,17.1,24.8,113.5
1638,26.39,1.6,42.29,192.9,12.3,176.8,45.9,17.5,25.4,117.8
1639,28.94,1.75,46.09,209.7,13.3,192.5,49.4,19.1,28.2,126.6
1640,31.49,1.87,49.63,228.0,14.5,207.3,53.7,20.7,30.1,138.6
1641,32.71,1.93,52.14,240.6,15.2,215.6,56.7,21.6,31.6,141.3
1642,32.49,1.97,51.77,234.7,15.2,216.2,55.8,21.9,31.2,141.9
1643,32.64,1.98,52.29,238.9,15.3,219.2,57.4,22.1,31.8,143.0
1644,32.52,1.99,52.05,238.0,15.5,218.7,57.3,22.0,32.0,145.5
1645,31.8,1.89,49.83,232.9,14.7,210.3,54.6,20.9,30.6,138.2
1646,30.43,1.84,48.42,226.8,14.3,203.6,52.8,20.1,29.9,135.3
1647,29.82,1.8,47.12,218.6,14.1,199.1,52.3,19.8,28.9,131.3
1648,29.5,1.75,47.03,214.4,13.8,196.9,51.1,20.0,28.9,131.5
1649,29.69,1.79,48.49,217.1,13.9,199.5,51.5,19.9,28.7,130.4
1650,33.22,1.99,53.65,240.9,15.5,220.9,56.8,21.9,31.9,146.6
1651,34.7,2.12,55.74,255.6,16.5,233.3,60.5,23.0,33.8,155.2
1652,34.25,2.03,55.3,247.9,15.8,227.1,59.3,22.6,33.2,148.2
1653,31.92,1.9,50.8,232.4,14.9,213.4,56.1,21.6,31.3,138.8
1654,31.15,1.86,50.23,226.6,14.6,207.5,54.7,20.6,29.8,138.4
1655,29.14,1.72,47.05,211.7,13.4,193.5,50.5,19.2,28.1,126.9
1656,27.07,1.59,42.89,193.2,12.4,178.1,45.8,17.9,25.8,116.7
1657,25.07,1.54,40.91,186.5,11.9,169.0,43.4,16.8,24.5,111.7
1658,24.53,1.47,38.72,177.4,11.5,163.6,42.3,16.4,23.9,108.8
1659,23.88,1.45,38.48,179.4,11.4,160.9,41.4,16.0,23.0,107.3
1660,24.31,1.43,39.17,175.3,11.3,160.9,41.7,16.3,23.3,107.7
1661,22.16,1.36,36.03,162.3,10.5,148.5,38.2,14.9,21.7,98.1
1662,24.61,1.5,40.3,184.4,11.5,166.1,42.7,16.8,24.2,108.0
1663,26.8,1.59,42.83,193.2,12.6,178.1,46.2,18.0,25.9,117.8
1664,28.3,1.73,46.24,208.3,13.3,190.8,49.2,19.0,27.8,127.4
1665,29.41,1.76,46.24,212.6,13.8,195.5,50.2,19.7,28.6,128.6
1666,29.64,1.79,46.63,216.6,14.0,196.8,50.7,19.9,28.9,129.3
1667,29.99,1.81,48.51,222.4,14.2,202.4,52.3,20.1,28.9,134.6
1668,30.64,1.79,48.73,219.8,14.3,201.4,52.3,19.9,29.4,132.9
1669,29.01,1.7,45.6,209.9,13.2,191.2,50.3,18.9,27.8,126.0
1670,27.68,1.64,43.41,200.4,12.9,182.2,47.5,18.0,26.3,120.9
1671,26.53,1.61,42.46,195.0,12.4,176.9,46.6,17.9,25.4,117.1
1672,26.32,1.59,41.97,193.2,12.1,174.5,44.9,17.7,25.6,113.8
1673,26.3,1.6,42.09,192.9,12.3,177.7,45.5,17.8,25.9,116.1
1674,30.4,1.83,48.3,222.6,14.4,203.6,53.0,20.1,29.6,133.0
1675,33.25,2.01,54.06,247.6,15.6,223.4,57.6,22.6,32.7,147.1
1676,32.86,2.02,52.87,240.1,15.5,221.4,57.9,22.3,31.7,145.4
1677,32.0,1.88,50.34,232.6,14.8,210.8,54.2,21.2,30.3,137.5
1678,30.67,1.82,48.75,222.2,14.1,202.3,52.2,19.9,29.5,134.5
1679,28.12,1.66,45.31,208.1,13.2,186.7,48.7,18.8,27.1,123.7
1680,25.67,1.55,40.94,187.6,12.2,173.0,44.6,17.4,24.8,113.8
1681,25.03,1.49,39.45,184.0,11.5,165.0,42.8,16.5,23.8,109.2
1682,24.02,1.46,38.34,176.9,11.3,160.5,41.5,15.9,23.4,104.6
1683,24.07,1.43,38.82,174.1,11.2,159.4,41.2,16.2,23.3,104.4
1684,24.88,1.49,39.11,180.9,11.4,163.4,42.5,16.2,23.4,106.3
1685,27.28,1.68,43.88,204.3,12.7,184.5,47.3,18.6,26.6,120.4
1686,30.23,1.83,48.25,222.5,14.4,203.6,52.3,20.4,29.3,134.6
1687,32.61,1.98,52.94,242.7,15.1,217.8,55.9,22.0,32.0,142.7
1688,34.07,2.07,55.19,251.3,16.1,228.4,58.9,22.7,33.0,150.1
1689,35.4,2.12,58.02,263.1,16.6,238.3,61.6,23.8,34.1,158.4
1690,36.06,2.17,58.02,264.4,16.8,242.6,63.4,24.3,34.8,161.1
1691,36.98,2.23,58.72,274.3,17.5,247.7,64.1,24.6,35.7,164.1
1692,37.63,2.26,60.1,276.6,17.6,251.4,64.5,25.4,36.4,164.1
1693,36.96,2.28,59.93,271.3,17.6,250.1,65.8,25.4,36.4,162.9
1694,36.7,2.17,57.95,267.3,17.3,244.1,62.8,24.7,35.1,161.2
1695,35.62,2.15,56.49,260.8,16.7,238.5,61.9,24.0,34.4,158.0
1696,33.95,2.06,53.96,252.3,16.0,228.2,58.6,22.7,33.4,152.3
1697,33.48,1.99,53.84,243.8,15.4,221.1,58.3,22.2,31.6,145.4
1698,36.57,2.18,57.82,269.2,16.9,241.6,63.3,24.4,35.0,160.4
1699,38.28,2.26,60.31,280.1,17.7,252.9,66.3,25.5,36.8,167.7
1700,36.48,2.16,56.91,261.8,17.0,240.6,61.9,24.1,35.0,160.4
1701,32.96,1.98,53.02,244.5,15.6,223.0,57.2,22.4,31.9,145.6
1702,31.92,1.89,50.33,231.2,14.5,210.1,54.4,21.0,30.1,138.9
1703,29.15,1.71,46.94,213.8,13.5,193.2,51.0,19.5,28.0,128.4
1704,26.86,1.6,42.11,196.3,12.6,176.8,46.2,17.9,25.4,116.9
1705,25.3,1.5,39.89,186.0,11.9,168.6,43.7,16.9,24.5,109.7
1706,24.5,1.49,39.29,182.7,11.4,164.8,42.4,16.2,23.8,109.4
1707,24.34,1.45,38.71,177.7,11.6,163.2,41.8,16.4,23.4,106.8
1708,25.41,1.49,40.13,187.0,11.6,168.2,44.0,16.6,24.3,111.9
1709,28.53,1.71,44.89,211.0,13.3,189.7,49.5,19.0,27.1,125.1
1710,31.29,1.87,50.13,230.8,14.5,207.5,53.2,20.7,30.1,136.9
1711,33.03,1.97,53.67,246.3,15.7,222.3,58.1,22.5,32.4,146.2
1712,35.34,2.12,56.25,260.4,16.6,235.4,60.4,23.7,34.6,154.9
1713,36.75,2.15,58.78,264.7,17.0,241.7,62.3,24.2,35.3,160.6
1714,36.55,2.17,57.73,264.4,17.0,242.4,62.5,24.4,34.8,157.8
1715,37.67,2.24,61.03,275.8,17.6,251.1,66.1,25.1,36.7,165.9
1716,37.77,2.26,61.74,276.5,17.9,254.1,66.6,25.3,36.5,166.3
1717,37.71,2.28,60.71,275.8,17.6,253.5,65.2,25.7,36.4,166.9
1718,36.68,2.22,59.7,269.4,17.2,247.1,65.2,24.5,36.1,163.4
1719,36.14,2.21,58.86,263.7,17.1,242.0,62.7,24.4,34.7,160.3
1720,34.69,2.07,56.08,254.5,16.3,232.3,61.1,23.3,33.4,154.8
1721,34.07,2.05,53.64,252.3,15.9,226.5,58.4,22.9,32.5,147.9
1722,36.88,2.24,58.05,267.1,17.1,245.0,62.9,24.8,35.2,163.6
1723,38.49,2.3,61.63,280.1,17.8,255.7,66.9,25.5,36.9,171.1
1724,35.92,2.15,58.12,264.0,16.9,242.8,63.6,24.4,35.1,159.1
1725,33.3,2.03,54.12,242.8,15.4,223.7,58.2,22.2,32.6,146.8
1726,32.15,1.95,51.29,237.6,14.9,213.8,56.4,21.4,31.2,141.0
1727,29.79,1.75,46.94,216.0,13.8,196.8,51.7,19.8,28.7,128.7
1728,26.75,1.61,43.0,200.8,12.6,181.0,47.4,18.0,26.1,120.3
1729,25.44,1.56,41.24,190.1,12.2,171.9,44.4,16.9,24.9,114.4
1730,25.47,1.52,40.66,186.0,11.9,167.5,43.6,16.9,24.1,111.2
1731,24.39,1.5,40.08,182.4,11.5,164.9,43.3,16.3,23.8,108.2
1732,25.43,1.5,40.96,183.7,11.8,168.4,44.0,17.0,24.3,109.7
1733,28.25,1.69,45.12,207.9,13.3,189.1,49.6,19.1,27.2,124.3
1734,30.96,1.83,49.46,226.8,14.4,204.2,53.6,20.4,29.6,135.0
1735,33.11,2.0,53.21,239.3,15.3,220.2,56.9,21.7,32.2,146.6
1736,35.49,2.09,56.35,259.8,16.3,235.4,62.0,23.4,33.9,155.3
1737,36.2,2.19,59.06,270.0,17.2,242.9,64.0,24.3,35.7,158.5
1738,36.32,2.22,59.4,271.6,17.3,245.7,64.2,24.7,35.9,162.8
1739,37.87,2.26,60.27,273.9,17.8,250.8,65.6,25.0,36.3,164.2
1740,38.09,2.29,60.98,275.1,17.7,251.4,66.1,25.0,36.9,165.0
1741,37.55,2.23,60.04,275.7,17.1,247.5,64.4,24.5,35.9,165.1
1742,36.33,2.18,57.42,262.5,17.0,241.2,63.0,24.2,35.4,158.6
1743,34.97,2.15,56.63,261.4,16.3,235.8,61.5,23.6,33.8,156.1
1744,33.62,2.04,54.4,247.8,16.1,227.0,59.5,22.5,33.3,150.5
1745,33.19,1.97,53.57,241.1,15.7,221.0,58.0,21.9,31.8,147.2
1746,35.7,2.16,58.73,263.8,16.8,241.5,62.3,23.9,34.7,157.5
1747,38.22,2.27,60.6,281.8,17.9,254.8,66.8,25.8,36.9,169.6
1748,35.82,2.15,57.14,266.9,16.6,241.0,63.0,24.5,35.2,158.5
1749,33.31,2.0,53.32,245.5,15.5,222.5,57.4,21.9,32.3,146.2
1750,31.71,1.89,50.37,226.2,14.7,208.4,54.6,20.6,29.8,139.5
1751,28.74,1.71,45.51,212.5,13.2,190.4,49.8,19.0,27.2,124.3
1752,26.6,1.58,42.65,193.3,12.2,175.5,45.7,17.8,25.5,116.0
1753,25.05,1.51,40.84,185.5,11.7,167.8,43.4,17.0,24.2,109.2
1754,24.62,1.49,39.64,180.9,11.5,163.0,42.0,16.3,23.5,107.5
1755,24.0,1.44,39.09,178.7,11.4,161.6,41.5,16.0,23.3,106.0
1756,25.05,1.48,39.1,179.7,11.6,165.4,42.6,16.7,24.0,109.2
1757,28.07,1.66,44.4,209.1,13.3,187.5,49.4,18.5,27.2,123.1
1758,30.92,1.84,48.96,223.7,14.3,205.5,52.7,20.4,30.2,134.8
1759,32.54,1.95,53.07,241.3,15.6,220.0,57.5,22.3,31.5,143.7
1760,33.97,2.09,54.52,255.2,15.9,229.8,59.5,23.1,33.6,153.7
1761,36.08,2.14,57.74,260.2,16.9,240.1,62.9,24.2,34.5,158.7
1762,36.32,2.18,59.17,266.3,17.4,245.3,63.2,24.5,35.3,161.0
1763,37.82,2.24,59.52,272.0,17.7,250.3,64.4,24.9,36.3,162.8
1764,37.33,2.2,59.57,275.5,17.3,247.4,65.0,24.5,35.8,163.8
1765,36.37,2.21,59.24,265.8,17.0,244.3,62.7,24.4,35.1,159.3
1766,35.88,2.2,57.92,268.6,17.1,241.6,62.9,24.5,35.1,159.5
1767,35.58,2.12,55.9,257.0,16.7,235.8,61.5,23.5,33.7,154.5
1768,33.32,2.02,53.61,243.6,15.8,224.7,58.8,22.2,32.6,146.9
1769,32.59,1.98,52.62,243.5,15.2,218.2,57.0,22.0,31.7,142.6
1770,36.27,2.18,57.27,260.7,16.7,239.7,61.8,24.2,34.9,159.4
1771,37.33,2.23,60.13,271.3,17.1,246.9,64.0,24.5,36.3,164.4
1772,35.4,2.09,56.34,255.2,16.1,232.7,60.3,23.5,33.9,154.1
1773,32.43,1.95,52.78,236.5,15.1,218.2,57.0,21.8,32.1,142.1
1774,31.12,1.84,49.96,224.9,14.7,206.9,54.4,20.5,29.6,136.9
1775,28.23,1.69,44.92,207.9,13.3,189.2,49.2,18.7,27.1,124.3
1776,26.56,1.59,42.72,194.9,12.3,176.8,46.4,17.9,25.4,115.7
1777,26.04,1.59,41.57,188.9,12.1,173.9,45.7,17.4,25.0,115.6
1778,25.4,1.51,41.04,184.0,11.8,168.5,43.2,17.0,24.5,112.3
1779,24.95,1.5,40.65,187.0,11.7,167.8,43.7,17.0,24.0,111.1
1780,25.6,1.53,41.03,188.0,11.9,172.0,44.3,17.4,25.2,112.4
1781,28.19,1.69,45.62,210.8,13.3,189.6,48.7,19.2,27.2,126.8
1782,31.24,1.84,49.14,225.3,14.3,207.0,54.4,20.4,30.3,137.4
1783,33.07,1.99,53.68,248.1,15.5,223.1,58.3,22.2,32.0,147.9
1784,34.96,2.12,56.92,257.4,16.3,234.7,60.4,23.2,34.3,154.3
1785,35.97,2.19,58.89,265.1,16.8,243.3,62.9,24.5,35.2,162.1
1786,37.18,2.24,59.7,268.8,17.2,247.9,63.6,24.9,35.6,161.7
1787,37.48,2.3,60.18,277.2,17.6,252.1,66.5,25.2,36.0,165.9
1788,37.46,2.3,60.55,279.7,17.5,251.8,66.3,25.0,36.2,164.0
1789,36.43,2.22,58.3,268.1,17.0,246.4,64.0,24.6,35.2,164.1
1790,35.72,2.13,57.78,261.0,16.5,238.5,62.7,23.8,34.4,156.4
1791,34.98,2.12,55.27,253.2,16.4,232.6,59.9,22.9,34.2,153.9
1792,33.66,2.04,53.29,243.9,15.5,224.2,58.2,22.2,32.0,150.2
1793,33.08,2.01,53.59,247.0,15.4,221.9,57.0,22.3,32.0,146.2
1794,36.26,2.14,57.18,266.9,16.8,239.9,61.6,23.9,34.8,157.2
1795,37.01,2.22,59.16,275.2,17.5,248.8,65.5,24.6,36.5,164.8
1796,35.92,2.1,56.28,260.7,16.3,236.0,60.5,23.3,34.1,156.1
1797,33.12,1.99,53.02,242.8,15.3,218.8,56.9,22.2,31.8,144.1
1798,31.62,1.87,50.68,234.9,14.7,210.7,55.2,21.1,30.5,137.8
1799,29.22,1.77,46.94,215.0,13.6,196.2,50.5,19.6,28.6,129.6
1800,27.25,1.62,43.69,198.3,12.7,182.0,47.0,18.0,26.2,119.0
1801,26.22,1.57,41.94,190.4,12.1,172.5,44.9,17.1,25.3,113.1
1802,25.24,1.49,40.39,181.2,11.7,166.1,43.6,16.6,24.4,111.1
1803,24.2,1.48,38.8,178.0,11.5,163.3,43.0,16.4,24.0,108.1
1804,24.28,1.46,39.0,182.2,11.4,163.3,42.5,16.5,24.0,108.2
1805,25.51,1.5,40.17,187.2,11.6,168.9,44.0,16.7,24.4,112.8
1806,25.85,1.53,41.17,188.7,12.2,172.0,44.2,17.0,25.2,112.0
1807,28.63,1.69,45.82,210.3,13.1,188.7,48.9,18.9,27.3,123.2
1808,30.82,1.84,48.83,223.8,14.3,204.7,52.9,20.3,30.1,135.6
1809,31.34,1.92,51.03,232.8,15.0,211.3,55.2,21.1,31.0,141.6
1810,31.93,1.89,50.9,235.8,14.7,213.1,55.5,21.6,31.2,138.9
1811,32.71,1.96,51.73,242.6,15.1,217.4,56.9,22.0,32.0,143.5
1812,32.59,1.93,52.28,236.6,15.1,217.6,57.1,21.7,31.1,143.5
1813,32.38,1.95,50.77,231.2,15.0,213.1,55.0,21.4,31.0,140.3
1814,30.44,1.84,48.71,226.7,14.3,205.1,52.8,20.5,29.3,134.2
1815,30.28,1.82,48.02,223.4,13.9,201.5,52.7,19.9,29.6,131.4
1816,29.81,1.77,48.19,220.1,14.1,198.8,51.3,20.0,28.8,129.7
1817,30.49,1.83,47.63,224.0,14.2,200.9,52.9,19.9,29.2,131.3
1818,33.17,1.97,52.93,239.7,15.2,219.9,57.5,21.8,31.4,146.6
1819,35.64,2.1,56.1,258.6,16.5,235.0,61.3,23.4,33.7,152.9
1820,34.7,2.03,55.39,252.5,16.0,228.8,59.8,22.6,33.4,152.6
1821,31.64,1.89,51.14,229.7,14.7,211.6,54.7,21.3,30.6,137.8
1822,31.43,1.88,50.14,229.2,14.8,209.3,54.8,21.2,30.2,139.8
1823,29.44,1.77,46.78,214.6,13.5,196.1,50.6,19.6,28.5,127.8
1824,27.43,1.63,43.68,201.3,12.6,180.8,46.6,17.9,26.2,119.9
1825,25.34,1.54,40.46,187.6,11.8,170.4,43.8,17.0,24.9,111.7
1826,24.98,1.5,39.42,180.7,11.4,165.0,42.4,16.3,23.8,109.7
1827,24.47,1.45,38.55,177.0,11.1,161.5,42.6,16.2,23.6,107.6
1828,24.09,1.44,38.28,176.0,11.3,160.1,41.3,15.8,23.0,107.1
1829,24.17,1.49,38.53,179.9,11.3,163.0,42.7,16.1,23.6,106.8
1830,24.16,1.47,38.91,179.3,11.4,162.9,41.8,16.4,23.4,106.9
1831,26.29,1.56,42.31,194.3,12.5,175.7,45.2,17.6,25.7,114.2
1832,28.0,1.71,44.85,207.0,13.2,187.9,49.4,18.8,27.5,124.3
1833,28.85,1.74,46.97,212.4,13.6,193.1,50.1,19.1,28.2,126.8
1834,28.71,1.74,46.42,209.3,13.6,192.7,50.2,19.1,27.6,127.0
1835,28.53,1.72,46.75,212.5,13.7,192.9,50.3,19.5,27.6,128.5
1836,29.18,1.76,46.23,211.8,13.6,193.5,50.8,19.2,27.8,127.1
1837,28.9,1.72,46.29,211.0,13.5,191.4,49.4,19.0,28.1,125.4
1838,26.72,1.59,42.51,192.5,12.4,176.3,45.3,17.5,25.9,116.5
1839,25.64,1.54,41.67,186.9,12.1,171.3,44.2,16.9,24.5,112.6
1840,25.7,1.54,40.48,186.0,12.0,171.0,44.6,17.0,25.0,114.5
1841,26.61,1.6,42.16,196.0,12.4,177.1,45.7,17.8,26.1,117.6
1842,31.13,1.85,48.8,227.5,14.4,205.6,54.1,20.5,29.6,137.5
1843,34.16,2.03,53.76,250.5,15.8,225.3,59.4,22.6,32.8,147.9
1844,33.82,1.97,52.85,242.5,15.4,222.6,58.6,22.4,32.5,149.1
1845,31.31,1.88,50.4,230.2,14.7,210.5,54.0,21.0,30.5,137.7
1846,30.21,1.83,48.94,219.1,14.1,202.1,52.9,20.3,29.7,135.2
1847,28.0,1.67,44.51,206.9,13.1,186.1,47.8,18.7,26.6,123.2
1848,25.45,1.54,41.46,187.1,12.0,170.7,44.2,17.3,25.1,111.8
1849,24.32,1.44,39.13,176.8,11.3,161.2,41.6,16.1,23.4,107.4
1850,23.74,1.42,38.03,170.1,11.0,156.7,41.1,15.5,22.4,102.7
1851,23.4,1.4,37.52,173.1,10.9,155.5,40.6,15.6,22.6,101.4
1852,23.73,1.45,38.27,174.6,11.3,160.1,41.8,16.1,22.9,104.9
1853,27.31,1.66,44.14,199.0,12.9,182.0,47.7,18.1,26.1,120.8
1854,29.33,1.76,47.44,217.5,13.7,198.4,52.0,20.1,28.8,129.7
1855,31.9,1.96,50.96,236.7,15.1,214.1,55.3,21.1,30.8,141.3
1856,34.1,2.1,55.98,251.9,16.1,230.1,59.4,23.3,33.1,149.7
1857,35.83,2.14,56.48,261.6,16.7,237.1,62.4,23.9,34.1,155.7
1858,36.62,2.19,57.33,262.9,17.0,241.0,62.1,24.1,34.5,157.6
1859,36.3,2.16,58.67,270.8,16.9,243.3,62.7,24.5,35.7,158.5
1860,35.55,2.17,57.6,259.2,16.9,239.1,61.3,24.0,34.4,155.8
1861,35.81,2.12,56.72,260.4,16.5,236.2,61.9,23.9,34.8,155.9
1862,35.87,2.12,57.64,264.2,16.4,236.8,62.2,23.4,34.2,158.3
1863,34.75,2.09,55.46,253.2,16.2,230.9,59.8,22.8,33.6,152.7
1864,34.0,2.09,54.26,248.3,16.1,228.6,58.8,23.2,32.7,150.5
1865,32.83,1.98,52.89,244.9,15.5,222.0,57.7,22.1,31.7,145.8
1866,35.81,2.16,57.02,264.5,16.6,239.3,62.8,24.0,35.0,158.5
1867,37.37,2.28,59.46,273.8,17.6,251.2,64.7,25.4,36.4,165.2
1868,36.11,2.12,57.62,259.2,16.6,238.4,61.6,23.9,34.1,156.9
1869,33.22,1.95,52.27,239.6,15.2,219.3,56.7,22.0,31.9,146.1
1870,30.83,1.89,49.92,229.5,14.7,207.6,54.6,20.5,30.0,135.9
1871,28.26,1.72,45.19,211.8,13.3,190.0,49.4,19.0,27.5,124.4
1872,26.33,1.56,41.58,190.5,12.2,173.1,44.9,17.4,25.4,115.4
1873,24.89,1.5,39.85,183.4,11.4,165.2,43.0,16.6,24.2,107.5
1874,23.82,1.43,38.16,175.9,11.3,159.5,42.0,15.8,23.0,105.2
1875,23.87,1.42,38.09,176.2,11.0,158.7,41.7,15.8,22.9,104.6
1876,24.24,1.49,39.13,181.2,11.5,163.0,42.6,16.5,24.0,107.8
1877,27.19,1.63,43.53,202.1,12.9,183.3,47.3,18.4,27.0,120.7
1878,29.36,1.77,46.46,214.8,13.8,194.2,49.8,19.3,28.1,128.8
1879,31.38,1.86,50.37,228.0,14.6,209.3,54.5,20.8,30.3,137.6
1880,32.36,1.99,51.8,243.0,15.4,218.3,56.3,22.1,31.7,144.7
1881,33.46,2.04,54.24,247.6,15.9,226.0,59.2,22.3,32.7,149.8
1882,34.89,2.09,55.72,252.7,16.3,230.9,60.4,23.0,33.9,152.9
1883,35.35,2.11,55.95,256.5,16.5,233.4,61.0,23.2,33.7,154.0
1884,34.92,2.11,55.68,253.3,16.1,233.7,60.9,23.4,33.9,155.1
1885,34.58,2.08,56.35,257.6,16.1,232.0,60.6,23.5,33.5,154.9
1886,34.21,2.04,54.91,245.2,15.6,226.1,58.4,22.4,33.2,149.8
1887,33.24,1.97,52.01,238.2,15.6,219.5,57.1,21.9,32.0,142.7
1888,31.2,1.91,50.66,233.4,14.5,210.2,54.2,21.1,30.3,139.4
1889,30.99,1.91,50.23,231.6,14.6,208.9,54.5,21.1,30.6,139.3
1890,33.74,2.05,54.52,252.0,15.7,228.0,59.9,23.1,32.8,148.8
1891,35.9,2.18,58.25,268.8,16.8,241.4,63.2,24.0,35.1,157.9
1892,34.69,2.12,55.67,260.0,16.6,233.9,60.5,23.2,34.1,155.7
1893,32.74,1.96,53.15,243.5,15.3,221.1,57.0,22.1,32.0,144.6
1894,31.99,1.93,51.15,233.3,14.8,212.0,55.8,21.4,31.1,138.4
1895,29.03,1.76,46.46,213.5,13.5,195.1,51.3,19.3,28.0,130.1
1896,27.46,1.63,43.21,198.4,12.6,180.7,46.6,18.3,26.5,118.4
1897,25.88,1.53,41.93,189.0,12.2,172.4,44.7,17.2,25.2,114.1
1898,25.41,1.51,40.42,186.6,11.7,167.8,43.8,16.7,24.5,112.0
1899,25.29,1.5,40.32,184.4,11.6,167.4,43.4,16.9,24.5,111.6
1900,25.93,1.55,41.02,191.1,12.2,171.4,44.8,17.0,24.8,113.7
1901,28.44,1.71,45.58,206.8,13.2,189.6,49.2,18.7,27.7,125.7
